hash,malware_family,source
599b97ad43c789d30621973ec9918cf56eab903c384de5aa00329c79e29991cb,AgentTesla,adrian__luca
5d4ad6640ec2846c1dfb439108cfad160beb850a541ec00980c20fc36e0944dc,Emotet,SecuriteInfoCom
5d53d190c150a8f0efb04cdfd9f607d0cd30452eb1c9e5b59a97d137dd47ecb5,AgentTesla,burger403
5eadbfcfb7a040f56436004dc093cb57f766f17777544efa1d7457fbc21b62b4,AgentTesla,adrian__luca
5f283f6f7bd9737242c66a4224ad55e92217c0f11f551eab5cadb7e2d55e196a,AgentTesla,adrian__luca
6712500bb0de148a99ec940160d3d61850e2ce3803adca8f39e9fa8621b8ea6f,Dridex,OSimao
68bd5e4a0955b5d2b89751532443e0c42ae2974d6fe9000fd4ae058a66e7240f,Loki,threatcat_ch
68d60ea2de32a82a0e8675af68237a5184bd242ea3dc2593aef598bfa546eca5,Dridex,SecuriteInfoCom
6a3e2eecb7f7f464c57a7159570d2d55c6893839be852af898089550265f5dfc,Loki,smica83
6bdbcee2804eb7f3007fe8c0396944619a7652b4bd0149c4edd7d8a11aa4bbb4,Heodo,SecuriteInfoCom
6c2e18b9aa7f01958119a714c897dcfc3aa60cc41566ab87aa1d2625ddd24a8a,AgentTesla,adrian__luca
6d487dffb68cd5ba6d6f03383b00c3c942ce8bebc8ef3bdd10ddf240bd532f2f,all_7_families,JAMESWT_WT
6d4960e1b1f543b20c3d41d69ba71571297a080eaa410da13a7185ebec103ba6,AgentTesla,adrian__luca
72547090c1f7cd27f3c33256d3c09c403d0eb0fc30088e9f6e86408df5201b29,AgentTesla,adrian__luca
7329669d8afc510a838f43ca91821e5b01c157fb397f1f347490b4e028bbf6eb,TrickBot,abuse_ch
7553c451f8bc7159aaf5afcc364090428f512068a0b68701ffc31e8e11c31502,TrickBot,cocaman
7665e793186c3c83ec2c2c69adaee5e81ec60d395d8714921352296a5ab88ae6,Gozi,anonymous
77a24a5a4801064f65a1d9304b56de86d05b782944eccf99041855e3784acd79,AgentTesla,adrian__luca
787e18600498236c2f6b7691188f1b229a6329df6f17d6cfd21ea389fe20ba2c,AgentTesla,adrian__luca
793bb50abf7f51d0046aec79693626b4fba882cb0a67ed12b1a41be03c4eab77,AgentTesla,adrian__luca
7d82104c8f7ee68dcc8d14cccd87f5414e8de08f252f4667482a75edda76926a,all_7_families,malware_traffic
7db604bd255978f51ad2143f335451744c4e1534469b31f65a0eb55a108db157,Adware.PushWare,NIXLovesCooper
7f29f1dac72cfbf27f3537bec5b6cedc10f90f2b6b0cdaa503983f43d3bcf1d5,AgentTesla,adrian__luca
7fb4c95a329b24e6ab6742747cf896ae5125599548d38388fcb887b3fb871339,Dridex,JAMESWT_WT
818c482b0d6be6f5c9449c76d79edf4e038fe639267b2da83675e0c5b723cea7,Gozi,JAMESWT_WT
81ba69e44d1af39e49ee1f0443799b84b7914b62e7224833a296fda3e6a24db1,AgentTesla,cocaman
81e30919462fe3f085edf1b2629ac952e9f42c077116ff853ece3325b0c62eb1,AgentTesla,adrian__luca
82d5f91916f787a3c6bdcdcb49c1f6295f3ac57a8fde8a7cd4f0f34a93b9b541,AgentTesla,adrian__luca
854c4b3bd8e4d044ed26941615c5c607dcffe0ba39d92b62313b7c6aafae2a89,all_7_families,malware_traffic
85f233bd23fe1401604eb321db1533d2c49780d3e7f57b9dfa3b6740ba1ce3c2,AgentTesla,adrian__luca
861da3f3f8dc9740abff5b3d07d82c52d4b38698d5d42f04d7f481cf25de650c,AgentTesla,adrian__luca
891403591d4738917f75065dd7500ab87eead7efb9d6ada3ff8922de11c740e0,RedLineStealer,JAMESWT_WT
8bc293957dc7682c4e0d265a34af321e71c533e41c93ee31e5d8cd5a23be9e7d,AgentTesla,adrian__luca
8e7ea1546b86935573d6ebcb6017b10557cedf8bc168243fdfcecf84b02f15d3,AgentTesla,adrian__luca
8f8abfa6717ad2043a295d16b5aeeac3e7084b7994f6eec8351e18a9a3c59997,Gamaredon,e24111111154168
915cd680a2253acc535668333c7147e97683c9a877b8b71c6256591ff42a2997,AgentTesla,adrian__luca
950b70275be0e0e65400c897e0ccffcad5d080403ba3a0525134b8ad21bb9b35,AgentTesla,cocaman
97565e05b015972c9b22a7b55d9e68c6f8d0bc90693731cfc1c925a127611800,AgentTesla,adrian__luca
98b9bd9da1ad5c48dc82f3c7152494217823514b5fc6d5b8e53b9b5a8dec5f7a,Heodo,UkyKnight
98f8aa235cf07d4e6fe52c1ad88fd6fcf08d08be178dfc620ab993d1eb90703c,DBatLoader,lowmal3
9979cde821b32983dab6f00de1e28ce03c58d05f1f3c8efc43981d2e084aef29,AgentTesla,adrian__luca
9b511e0198dec0c5ad53e512c13a88408effb455a8c1b857ee63436408f8e24a,Adware.PushWare,NIXLovesCooper
9b60ef3f360061599935dcbcf4aa96f13b4121f7ad88d5b8cea0cecabc2281a6,N-W0rm,TeamDreier
9cd35fa0778c941469378a96267de2933089868036a78e1d8c062dc9fc3625a5,SilentBuilder,pr0xylife
9daf33d2d3b122f8caccbca555164e11046957ed0af5afbb2b243a292d6f2de2,all_7_families,malware_traffic
9e3c70168c1f03c901fe44186b0be98af8f804b47cce40f81e9eda2e48df0acb,Adware.PushWare,NIXLovesCooper
a10431e043b70db47e5617767f04f8565b7c5af7de0e76256190d56565fc06b1,AgentTesla,adrian__luca
a2003640721f7d056e296c6c84dd78308bbfd2ebf9cf615e7d39c86071414f02,5050,JAMESWT_WT
a20e438a9763f8d6ede0bd1318a53e57994325c53b5fad3dbd6d7430f8472d94,AgentTesla,cocaman
a25be9533b9bf7feb8ab371e69cfdbc40cdf7a9d6f9041e8dd04d5f7755d43d0,AgentTesla,adrian__luca
a3d1973a41c8f1bae4c4e24fbe8c38b94f041784f6b7658b17d3375442dc0574,AgentTesla,adrian__luca
a610ef0e37af408aa49c7296d238796c57ac45aa8b0809ce72bc4d75b23fdf4f,AsyncRAT,GDHJDSYDH1
a6614cded41125670831a606f6056874024d350751d3116feec9a731326958ad,AgentTesla,adrian__luca
a7c43d80a03dbf6586aed2d4cca44a191858e4c6192c2ccafc330dc0014578e6,Adware.PushWare,NIXLovesCooper
a89d88037e6e7321b7da02290aab0139ddf7be1b697388dcc28fba708304682f,AgentTesla,SecuriteInfoCom
ac8248066dcae6455d379d03888b2d618e49e0715e6c11fa5e96ac44faca7208,AgentTesla,adrian__luca
ae2669203764ff3bf46e5b3bd9b5582af63b9544f80114624331e07a3b03b80a,Dridex,zbetcheckin
ae44cfb5daa272b11b29f5f69272d36aec1c24777e47b8809f1f14cea6e8251a,TrickBot,zbetcheckin
af3714df64bf3a66c27d6e4c718c6da0f770cfbb1cb33d10f15721246b2d717a,AgentTesla,adrian__luca
af740c77ba855c2933a2ef48172e7a29585b954f1d3dec0d47df263ee070b4c3,AgentTesla,adrian__luca
b1183c3ff8b058d34e49369d108f00e9dfcc1e29426bb6e3a4db4eb2c5e7aecd,Heodo,anonymous
