hash,family,source,status,detection_ratio,first_seen,last_seen,processes_count,files_written_count,files_deleted_count,registry_keys_set_count,dns_lookups_count,ip_connections_count,http_requests_count,mutexes_count,mitre_techniques_count,mitre_techniques,collected_date
cee52cea1d85083b781607bbe9752269f9336e23cd58a37f3f588fbfab9256a8,TrickBot,SecuriteInfoCom,success,37/76,1630715912,1756941623,0,0,0,0,0,0,0,0,0,,2025-11-04T03:32:55.177908+00:00
fc345d151b44639631fc6b88a979462dfba3aa5c281ee3a526c550359268c694,Heodo,jstrosch,success,54/76,1668189321,1708941945,0,0,0,0,0,0,0,0,0,,2025-11-04T03:33:27.689173+00:00
854c4b3bd8e4d044ed26941615c5c607dcffe0ba39d92b62313b7c6aafae2a89,all_7_families,malware_traffic,success,27/74,1631569532,1649416930,0,0,0,0,0,0,0,0,0,,2025-11-04T03:34:01.033126+00:00
2874f19d385565b1c5d5e630163aef1d87280af5de2cba4a583ab683768df1f4,Emotet,zbetcheckin,success,59/81,1673981572,1740203391,0,0,0,0,0,0,0,0,0,,2025-11-04T03:34:33.638435+00:00
d88037ea620fb8de5a48985676340ccfc8c79e508e52e6ca297edd3972ae9d43,Adware.PushWare,NIXLovesCooper,success,27/76,1701496753,1756900668,0,0,0,0,0,0,0,0,0,,2025-11-04T03:35:06.278254+00:00
c58751df2384d3667a1176c893888b976c2e2f97f3e702ecb322dbc31461aaa4,RedLineStealer,NIXLovesCooper,success,41/76,1699700429,1754744809,0,0,0,0,0,0,0,0,0,,2025-11-04T03:35:38.695833+00:00
d49c2e47c8e14cc01f0a362293c613ea9604e532ff77b879d69895473dfbeb03,WikiLoader,k3dg3,success,31/76,1689091037,1756910996,0,0,0,0,0,0,0,0,0,,2025-11-04T03:36:11.799656+00:00
9cd35fa0778c941469378a96267de2933089868036a78e1d8c062dc9fc3625a5,SilentBuilder,pr0xylife,success,24/72,1638410394,1639916096,0,0,0,0,0,0,0,0,0,,2025-11-04T03:36:44.921208+00:00
d2582eb0e62eb74cd2e9a4b0658d54a3b71c08e3f844b47e53ad1912623f4eb4,DBatLoader,1234567890,success,60/77,1707575823,1709987650,0,0,0,0,0,0,0,0,0,,2025-11-04T03:37:17.481308+00:00
f59b112154fa7b5d054be2543b3ece90ba0c1eb828edc2636602368f2213aadc,Gozi,viuleeenz,success,58/76,1688494867,1755223283,0,0,0,0,0,0,0,0,0,,2025-11-04T03:37:50.871844+00:00
bfcc16e302514e80fdc77675291f1bdb32796e7b77274f7596049938d0652347,Loki,abuse_ch,success,57/76,1727247375,1760959109,0,0,0,0,0,0,0,0,0,,2025-11-04T03:38:23.738524+00:00
d6a5d4bec8bc88217fea61b21c8b346d80fcbee3dcf602d717f8197cb44ca840,Dridex,GovCERT_CH,success,30/76,1638872395,1747011869,0,0,0,0,0,0,0,0,0,,2025-11-04T03:38:56.571718+00:00
5d53d190c150a8f0efb04cdfd9f607d0cd30452eb1c9e5b59a97d137dd47ecb5,AgentTesla,burger403,success,50/76,1757339018,1759903595,0,0,0,0,0,0,0,0,0,,2025-11-04T03:39:29.066053+00:00
55c2b8273385d3a14d5fbcca6209a31a040238c656b7f45f217469f412d4e28c,TrickBot,abuse_ch,success,59/76,1632930812,1699315637,0,0,0,0,0,0,0,0,0,,2025-11-04T03:40:01.726739+00:00
4fb203958dc23dba23634f6f5356931bfc221e22bed0a184cd73153fca697a51,Heodo,atomiczsec,success,41/76,1676042997,1754438495,0,0,0,0,0,0,0,0,0,,2025-11-04T03:40:34.603241+00:00
deb96eeb98aa7a0549027dadfafd5d3ebbce2006d4ad2272683ea82911026d79,all_7_families,JAMESWT_WT,success,55/76,1697373313,1755205246,0,0,0,0,0,0,0,0,0,,2025-11-04T03:41:07.065607+00:00
08039481f17de1a125763d6dadc9a91615fa027ad42a4f42d886b94063a94822,Emotet,Cryptolaemus1,success,56/81,1673906427,1740203385,0,0,0,0,0,0,0,0,0,,2025-11-04T03:41:39.501982+00:00
a7c43d80a03dbf6586aed2d4cca44a191858e4c6192c2ccafc330dc0014578e6,Adware.PushWare,NIXLovesCooper,success,36/76,1701496763,1756354928,0,0,0,0,0,0,0,0,0,,2025-11-04T03:42:12.542828+00:00
891403591d4738917f75065dd7500ab87eead7efb9d6ada3ff8922de11c740e0,RedLineStealer,JAMESWT_WT,success,57/76,1758210778,1761026525,0,0,0,0,0,0,0,0,0,,2025-11-04T03:42:45.402086+00:00
1f2f0fcf6f0870dd3ad85410d6a94a840c9ab5d89a003288ec5c77aae0a0d5f4,WikiLoader,pr0xylife,success,35/75,1697128899,1727643927,0,0,0,0,0,0,0,0,0,,2025-11-04T03:43:18.249915+00:00
d1a785afd164bb2c5d932ada9920879984a7cc2b26ed8512828fda39b26dd2d1,SilentBuilder,pr0xylife,success,29/73,1638408463,1639866414,0,0,0,0,0,0,0,0,0,,2025-11-04T03:43:50.911343+00:00
7665e793186c3c83ec2c2c69adaee5e81ec60d395d8714921352296a5ab88ae6,Gozi,anonymous,success,57/78,1696518225,1721354772,0,0,0,0,0,0,0,0,0,,2025-11-04T03:44:23.670124+00:00
fe5bcaeebd1b1ec308d5b4315f78912801ca049ec1293e632ad06d71f72e56d3,Loki,Racco42,success,67/76,1731616241,1755443244,0,0,0,0,0,0,0,0,0,,2025-11-04T03:44:57.996942+00:00
e19ae4ea423a7210e27c0c58deb9ae5a77d1d9c8a4020051210290c53e69bebf,Dridex,SecuriteInfoCom,success,56/76,1639767863,1741673235,0,0,0,0,0,0,0,0,0,,2025-11-04T03:45:31.483061+00:00
0cad204b7b1977deedab017724f427459c001618f6566015ccde93a52dd8f470,AgentTesla,Vip5676,success,58/76,1757944287,1760508306,0,0,0,0,0,0,0,0,0,,2025-11-04T03:46:04.043523+00:00
7329669d8afc510a838f43ca91821e5b01c157fb397f1f347490b4e028bbf6eb,TrickBot,abuse_ch,success,58/74,1633711441,1712833548,0,0,0,0,0,0,0,0,0,,2025-11-04T03:46:36.901747+00:00
39b544bd9338d4f01de2998d00ef6a56a4613001cda5289b8294049d9d8933fc,Heodo,JAMESWT_WT,success,31/73,1678284515,1709199926,0,0,0,0,0,0,0,0,0,,2025-11-04T03:47:09.762692+00:00
377d60cd60f12500b9441db24aafbdfa4d9ee82e7c89ddd679e1a962b1119249,all_7_families,JAMESWT_WT,success,2/75,1630733851,1707510918,0,0,0,0,0,0,0,0,0,,2025-11-04T03:47:42.216457+00:00
0b8682fe1ee1d9a8ad485452179e9c8651c682660591077e0fb7077e89af81bd,Emotet,zbetcheckin,success,53/81,1679003003,1740203392,0,0,0,0,0,0,0,0,0,,2025-11-04T03:48:14.682810+00:00
7db604bd255978f51ad2143f335451744c4e1534469b31f65a0eb55a108db157,Adware.PushWare,NIXLovesCooper,success,28/76,1701497221,1757120372,0,0,0,0,0,0,0,0,0,,2025-11-04T03:48:47.422700+00:00
268d8d0773f374ca2115ea390f21c9f8b35b3f26b6a5785597260ff6b7ec8f8e,RedLineStealer,pgiavaroto,success,11/74,1648044904,1677530133,0,0,0,0,0,0,0,0,0,,2025-11-04T03:49:19.952015+00:00
f68d1f0f0d98e40cd449b394d503d508f4933bbd513bf543579fb787a6a2c878,Dridex,SecuriteInfoCom,success,56/76,1640185372,1741669273,0,0,0,0,0,0,0,0,0,,2025-11-04T03:49:52.321918+00:00
01c47b5968afdc923ec354bc78cfeb490d3733f8dab819eb610a6678e3d24fdb,AgentTesla,abuse_ch,success,31/76,1759862488,1761078419,0,0,0,0,0,0,0,0,0,,2025-11-04T03:50:24.900243+00:00
435e34ae36e41d9bc0bc9ae051ef42c21721a826daa55d243eec6c007b8bcb35,TrickBot,zbetcheckin,success,54/76,1638883809,1738251919,0,0,0,0,0,0,0,0,0,,2025-11-04T03:50:57.550609+00:00
6bdbcee2804eb7f3007fe8c0396944619a7652b4bd0149c4edd7d8a11aa4bbb4,Heodo,SecuriteInfoCom,success,62/76,1699528237,1737556787,0,0,0,0,0,0,0,0,0,,2025-11-04T03:51:29.948047+00:00
bc977de2c812009947e6ae3fbcda2e1770b9b94789c2b486187c7a8af6d2f3ce,all_7_families,malware_traffic,success,43/76,1631544031,1755090577,0,0,0,0,0,0,0,0,0,,2025-11-04T03:52:02.849576+00:00
0e70671889e441e9926c6a731ce722797526a7ebf785d4c8cd5fa6ae671c8924,Emotet,Victas,success,57/76,1687659595,1742135983,0,0,0,0,0,0,0,0,0,,2025-11-04T03:54:42.718472+00:00
42122a70abbf6b402febfb0a8ae1ccda5b1ef2d50216fa116f1821b42edae042,Adware.PushWare,NIXLovesCooper,success,24/76,1701499597,1757315752,0,0,0,0,0,0,0,0,0,,2025-11-04T03:55:16.126157+00:00
b45e6199e46ebce59b94cc7116b7525720da356e007c15c7f79f9d3c7b0dd853,RedLineStealer,fabiodemartin,success,59/76,1758536225,1761113116,0,0,0,0,0,0,0,0,0,,2025-11-04T03:55:48.837429+00:00
41eb7384174f26a3e485574f75ae001a13301243849be3f6f840c70a166516a2,Loki,abuse_ch,success,67/76,1744180071,1758960054,0,0,0,0,0,0,0,0,0,,2025-11-04T03:56:21.373003+00:00
7fb4c95a329b24e6ab6742747cf896ae5125599548d38388fcb887b3fb871339,Dridex,JAMESWT_WT,success,62/76,1647074012,1728360505,0,0,0,0,0,0,0,0,0,,2025-11-04T03:56:54.175510+00:00
